;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncf: Number of failed test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncs: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: number of successful test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nc: total number of test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nu:total number of test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ns: total number of successful test cases
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nf: total number of failed test cases

OCL6;SrcUnpublished.allInstances()->forAll(b|TrgPara.allInstances()->exists(p|p.content='[' + b.id + '] Unpublished ' + b.title + ' ' + b.authors->iterate(e;str:String=''|str+e.author+' ') + b.note  and p.section.title = 'References List') and TrgPara.allInstances()->exists(p | p.content = b.title and p.section.title = 'Titles List'))

Rules;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TC10;TC11;TC12;TC13;TC14;TC15;TC16;TC17;TC18;TC19;TC20;TC21;TC22;TC23;TC24;TC25;TC26;TC27;TC28;TC29;TC30;TC31;TC32;TC33;TC34;TC35;TC36;TC37;TC38;TC39;TC40;TC41;TC42;TC43;TC44;TC45;TC46;TC47;TC48;TC49;TC50;TC51;TC52;TC53;TC54;TC55;TC56;TC57;TC58;TC59;TC60;TC61;TC62;TC63;TC64;TC65;TC66;TC67;TC68;TC69;TC70;TC71;TC72;TC73;TC74;TC75;TC76;TC77;TC78;TC79;TC80;TC81;TC82;TC83;TC84;TC85;TC86;TC87;TC88;TC89;TC90;TC91;TC92;TC93;TC94;TC95;TC96;TC97;TC98;TC99;TC100;Ncf;Nuf;Ncs;Nus;Nc;Nu;Ns;Nf;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;
Article_Title_NoJournal;X;X;;;X;;X;X;X;;X;;;;;;X;;;;;X;;;X;;X;X;X;;;X;;;;;X;;;;X;;;;X;;;;;;X;;;X;X;;X;;;;X;X;;;;X;;X;;X;X;;;;;;;X;X;;X;;X;X;;;;;X;;;;;;X;;X;;X;;3.0;23.0;33.0;41.0;36.0;64.0;74.0;26.0;-0.29390018484288355;0.08333333333333333;0.44;0.09935897435897437;0.08333333333333337;-0.3008514664143803;0.0035587188612099642;1.185743099271598E-6;0.09805806756909201;-0.30207399858925404;2.56;0.03;0.20103336639634525;0.2503022974607013;0.058417196847255416;0.28205128205128205;0.16071428571428573;0.20555555555555555;
TitledEntry_Title_NoArticle;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;26.0;0.0;69.0;5.0;95.0;5.0;74.0;26.0;0.036312849162011177;0.2736842105263158;0.31;0.6368421052631579;0.27368421052631575;0.10837849103793247;0.028985507246376812;0.2736842105263158;0.5231483637805969;0.13598594187236132;25.08;0.26;0.35151445118812874;0.0;0.1359717186091128;0.1834319526627219;9.797101449275363;0.5174825174825175;
Article_NoTitle_Journal;X;;;;;;X;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;X;;;;;;;;;;;;;;X;X;;;X;X;X;;;;X;;;;;X;;;;;;;;;;;X;;;;;;X;;;;;;;;;;;;;;X;;;;3.0;23.0;11.0;63.0;14.0;86.0;74.0;26.0;-0.039119804400977995;0.11538461538461539;0.66;0.16483516483516483;0.2142857142857143;-0.04092071611253197;0.009868421052631578;3.5571561880091424E-6;0.15724272550828775;-0.04204982538250834;2.8533333333333335;0.03;0.33001925498770823;0.08797814207650273;0.1241702322443081;0.4925373134328358;0.2647058823529412;0.43700787401574803;
Article_Title_Journal;X;X;;X;X;X;X;X;X;X;X;;;;X;X;X;X;;;;X;;;X;;X;X;X;;X;X;;X;;;X;;X;X;X;X;X;X;X;;X;;X;X;X;X;;X;X;X;X;X;;;X;X;;X;X;X;X;X;;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;;;;X;X;;;X;X;X;X;X;;X;X;5.0;21.0;66.0;8.0;71.0;29.0;74.0;26.0;-0.44806924101198403;0.07042253521126761;0.13;0.13136511375947996;0.07042253521126762;-0.6758724579462717;0.0031181789834736516;1.8036919409601125E-6;0.11637351602893194;-0.6762610161341936;4.12;0.05;0.11517525081544375;1.5386996904024768;0.02009590017680563;0.06951871657754011;0.28735632183908044;0.17737296260786195;
Author;X;X;;X;X;X;X;X;X;X;X;;;;X;X;X;X;X;;;X;X;X;X;;X;X;X;X;X;X;;X;X;X;X;;X;X;X;X;X;X;X;;X;;X;X;X;X;;X;X;X;X;X;;;X;X;X;X;X;X;X;X;;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;;;X;X;X;X;;X;X;X;X;X;X;X;X;8.0;18.0;73.0;1.0;81.0;19.0;74.0;26.0;-0.40258939580764486;0.09876543209876543;0.09;0.20322886989553657;0.09876543209876543;-0.7542593127346232;0.004767580452920143;4.870330494539446E-6;0.1743254534561636;-0.75896427386882;7.026666666666666;0.08;0.10633992324639062;5.762845849802371;0.00464882186981553;0.04712041884816754;0.7032967032967034;0.23775100401606425;
Article_NoTitle_NoJournal;;X;;;;;X;;X;;;;;;;X;X;;;;;;;;;;;;X;;;;;;;;;;;;X;;;;X;;;;;;;;;;;X;;;;;;X;;;;;;X;;;;;;;;;;;;;X;;;;;;;;X;;;;;;X;;;;;;1.0;25.0;13.0;61.0;14.0;86.0;74.0;26.0;-0.16136919315403422;0.038461538461538464;0.62;0.054945054945054944;0.0714285714285714;-0.16879795396419436;0.0029069767441860465;3.0768861542892253E-7;0.052414241836095915;-0.17345552970284692;0.8266666666666667;0.01;0.1882119778660636;0.0904860392967942;0.04007610670318939;0.4492753623188406;0.02631578947368421;0.1796116504854369;
UntitledEntry;X;X;;X;X;;X;;X;X;X;;;;;X;X;X;;;;;X;;X;;X;;;X;;X;;;X;X;X;;X;;;X;;;;;X;;X;;;X;;X;X;X;;X;;;;;;;X;;;X;;X;;X;X;;X;X;X;X;X;X;X;;X;;X;;;X;X;;X;;X;X;X;;X;X;;X;6.0;20.0;45.0;29.0;51.0;49.0;74.0;26.0;-0.2876386687797147;0.11764705882352941;0.35;0.17420814479638008;0.11764705882352944;-0.3282839701560027;0.005479452054794521;3.99981067562802E-6;0.16477051091432693;-0.3310937317481126;5.4;0.06;0.2279451175853174;0.3945841392649903;0.07934942440009356;0.21212121212121213;0.5538461538461539;0.275092936802974;
Main;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;26.0;0.0;74.0;0.0;100.0;0.0;74.0;26.0;0.0;0.26;0.26;0.63;0.26;0.0;0.02702702702702703;0.26;0.5099019513592785;0.0;25.013333333333332;0.26;0.26;0.0;0.0;0.14942528735632185;9.135135135135135;0.5;
TitledEntry_NoTitle_NoArticle;X;X;;X;X;X;X;X;X;X;X;;;;X;X;X;X;X;;;X;X;X;X;;X;X;X;;X;X;;X;X;X;X;;X;;X;X;;X;X;;;;X;X;X;X;;X;X;;X;X;;;X;X;;X;X;X;X;X;;X;X;X;X;;;X;X;X;;X;X;X;X;X;X;;;X;X;;X;;X;X;X;X;X;;X;X;7.0;19.0;64.0;10.0;71.0;29.0;74.0;26.0;-0.381491344873502;0.09859154929577464;0.17;0.18391115926327192;0.09859154929577463;-0.5754456439869445;0.004646531695984069;4.029396503306161E-6;0.1629229224405047;-0.5757764669314903;6.1466666666666665;0.07;0.1562176615222021;1.1699913269731137;0.03516782530940985;0.09289617486338798;0.5903614457831325;0.2373968835930339;
;Pass;Pass;Fail;Fail;Pass;Pass;Pass;Pass;Fail;Pass;Pass;Fail;Pass;Fail;Pass;Pass;Pass;Pass;Fail;Fail;Fail;Pass;Pass;Pass;Pass;Fail;Pass;Pass;Pass;Pass;Pass;Pass;Fail;Pass;Pass;Fail;Pass;Fail;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Fail;Pass;Fail;Pass;Pass;Pass;Fail;Fail;Pass;Pass;Pass;Pass;Pass;Fail;Fail;Pass;Pass;Pass;Pass;Pass;Fail;Pass;Pass;Fail;Pass;Pass;Pass;Pass;Fail;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Fail;Fail;Pass;Pass;Pass;Pass;Fail;Pass;Pass;Pass;Pass;Fail;Fail;Pass;Pass;
