In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL12;SrcProceedings.allInstances()->select(p|p.oclIsTypeOf(SrcProceedings))->forAll(b | TrgPara.allInstances()->exists(p | p.content = '['+b.id+'] Proceedings ' + b.title + ' ' + b.year and p.section.title = 'References List') and TrgPara.allInstances()->exists(p | p.content = b.title and p.section.title = 'Titles List'))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Article_Title_NoJournal;-0.39842983316977426;0.0;0.43;0.0;0.0;-0.3985276073619632;0.0;0.0;0.0;-0.3985497968034627;-0.3972602739726027;0.0;0.0;0.22216142270861833;0.0;0.27388535031847133;0.0;0.0
TitledEntry_Title_NoArticle;-0.6527487821851079;0.0;0.05;0.0;0.0;-0.8876271587414242;0.0;0.0;0.0;-0.8885731762563449;-0.9178082191780822;0.0;0.0;3.0504065040650405;0.0;0.02564102564102564;0.0;0.0
Article_NoTitle_Journal;-0.22950819672131148;0.0;0.58;0.0;0.0;-0.24347826086956523;0.0;0.0;0.0;-0.2516098041413563;-0.1917808219178082;0.0;0.0;0.09655172413793103;0.0;0.4084507042253521;0.0;0.0
Article_Title_Journal;-0.6331658291457286;0.0;0.09;0.0;0.0;-0.8115942028985508;0.0;0.0;0.0;-0.8137334712067349;-0.863013698630137;0.0;0.0;1.6470588235294117;0.0;0.04712041884816754;0.0;0.0
Author;-0.675603217158177;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;-1.0;-0.9863013698630136;0.0;0.0;1.0;0.0;0.0;0.0;0.0
Article_NoTitle_NoJournal;-0.20192307692307693;0.0;0.6;0.0;0.0;-0.21875;0.0;0.0;0.0;-0.23028309323591917;-0.1643835616438356;0.0;0.0;0.08235294117647059;0.0;0.42857142857142855;0.0;0.0
UntitledEntry;-0.5406737880032868;0.0;0.25;0.0;0.0;-0.5839804748169514;0.0;0.0;0.0;-0.587250995449292;-0.6438356164383562;0.0;0.0;0.5110679611650485;0.0;0.14285714285714285;0.0;0.0
Main;0.0;0.28;0.28;0.64;0.28;0.0;0.027777777777777776;0.28;0.5291502622129182;0.0;27.013698630136986;0.28;0.28;0.0;0.0;0.16279069767441862;10.88888888888889;0.5
TitledEntry_NoTitle_NoArticle;-0.6331658291457286;0.0;0.09;0.0;0.0;-0.8115942028985508;0.0;0.0;0.0;-0.8137334712067349;-0.863013698630137;0.0;0.0;1.6470588235294117;0.0;0.04712041884816754;0.0;0.0
EXAM-BC;0.8888888888888888;0.2222222222222222;0.8888888888888888;0.2222222222222222;0.2222222222222222;0.8888888888888888;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.8888888888888888;0.8888888888888888;0.2222222222222222;0.2222222222222222;0.1111111111111111;0.1111111111111111;0.8888888888888888;0.2222222222222222;0.2222222222222222
EXAM-WC;0.8888888888888888;1.0;0.8888888888888888;1.0;1.0;0.8888888888888888;1.0;1.0;1.0;0.8888888888888888;0.8888888888888888;1.0;1.0;0.1111111111111111;1.0;0.8888888888888888;1.0;1.0
EXAM-AVG;0.8888888888888888;0.6111111111111112;0.8888888888888888;0.6111111111111112;0.6111111111111112;0.8888888888888888;0.6111111111111112;0.6111111111111112;0.6111111111111112;0.8888888888888888;0.8888888888888888;0.6111111111111112;0.6111111111111112;0.1111111111111111;0.5555555555555556;0.8888888888888888;0.6111111111111112;0.6111111111111112

OCL17;SrcTitledEntry.allInstances() -> forAll(te | TrgPara.allInstances()->exists(p | p.content = te.title and p.section.title = 'Titles List'))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Article_Title_NoJournal;-0.39842983316977426;0.0;0.43;0.0;0.0;-0.3985276073619632;0.0;0.0;0.0;-0.3985497968034627;-0.3972602739726027;0.0;0.0;0.22216142270861833;0.0;0.27388535031847133;0.0;0.0
TitledEntry_Title_NoArticle;-0.6527487821851079;0.0;0.05;0.0;0.0;-0.8876271587414242;0.0;0.0;0.0;-0.8885731762563449;-0.9178082191780822;0.0;0.0;3.0504065040650405;0.0;0.02564102564102564;0.0;0.0
Article_NoTitle_Journal;-0.22950819672131148;0.0;0.58;0.0;0.0;-0.24347826086956523;0.0;0.0;0.0;-0.2516098041413563;-0.1917808219178082;0.0;0.0;0.09655172413793103;0.0;0.4084507042253521;0.0;0.0
Article_Title_Journal;-0.6331658291457286;0.0;0.09;0.0;0.0;-0.8115942028985508;0.0;0.0;0.0;-0.8137334712067349;-0.863013698630137;0.0;0.0;1.6470588235294117;0.0;0.04712041884816754;0.0;0.0
Author;-0.675603217158177;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;-1.0;-0.9863013698630136;0.0;0.0;1.0;0.0;0.0;0.0;0.0
Article_NoTitle_NoJournal;-0.20192307692307693;0.0;0.6;0.0;0.0;-0.21875;0.0;0.0;0.0;-0.23028309323591917;-0.1643835616438356;0.0;0.0;0.08235294117647059;0.0;0.42857142857142855;0.0;0.0
UntitledEntry;-0.5406737880032868;0.0;0.25;0.0;0.0;-0.5839804748169514;0.0;0.0;0.0;-0.587250995449292;-0.6438356164383562;0.0;0.0;0.5110679611650485;0.0;0.14285714285714285;0.0;0.0
Main;0.0;0.28;0.28;0.64;0.28;0.0;0.027777777777777776;0.28;0.5291502622129182;0.0;27.013698630136986;0.28;0.28;0.0;0.0;0.16279069767441862;10.88888888888889;0.5
TitledEntry_NoTitle_NoArticle;-0.6331658291457286;0.0;0.09;0.0;0.0;-0.8115942028985508;0.0;0.0;0.0;-0.8137334712067349;-0.863013698630137;0.0;0.0;1.6470588235294117;0.0;0.04712041884816754;0.0;0.0
EXAM-BC;0.8888888888888888;0.2222222222222222;0.8888888888888888;0.2222222222222222;0.2222222222222222;0.8888888888888888;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.8888888888888888;0.8888888888888888;0.2222222222222222;0.2222222222222222;0.1111111111111111;0.1111111111111111;0.8888888888888888;0.2222222222222222;0.2222222222222222
EXAM-WC;0.8888888888888888;1.0;0.8888888888888888;1.0;1.0;0.8888888888888888;1.0;1.0;1.0;0.8888888888888888;0.8888888888888888;1.0;1.0;0.1111111111111111;1.0;0.8888888888888888;1.0;1.0
EXAM-AVG;0.8888888888888888;0.6111111111111112;0.8888888888888888;0.6111111111111112;0.6111111111111112;0.8888888888888888;0.6111111111111112;0.6111111111111112;0.6111111111111112;0.8888888888888888;0.8888888888888888;0.6111111111111112;0.6111111111111112;0.1111111111111111;0.5555555555555556;0.8888888888888888;0.6111111111111112;0.6111111111111112

OCL19;SrcTitledEntry.allInstances()->forAll(te | TrgSect1.allInstances() -> exists(s | s.paras -> exists(p | p.content = te.title)))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Article_Title_NoJournal;-0.39842983316977426;0.0;0.43;0.0;0.0;-0.3985276073619632;0.0;0.0;0.0;-0.3985497968034627;-0.3972602739726027;0.0;0.0;0.22216142270861833;0.0;0.27388535031847133;0.0;0.0
TitledEntry_Title_NoArticle;-0.6527487821851079;0.0;0.05;0.0;0.0;-0.8876271587414242;0.0;0.0;0.0;-0.8885731762563449;-0.9178082191780822;0.0;0.0;3.0504065040650405;0.0;0.02564102564102564;0.0;0.0
Article_NoTitle_Journal;-0.22950819672131148;0.0;0.58;0.0;0.0;-0.24347826086956523;0.0;0.0;0.0;-0.2516098041413563;-0.1917808219178082;0.0;0.0;0.09655172413793103;0.0;0.4084507042253521;0.0;0.0
Article_Title_Journal;-0.6331658291457286;0.0;0.09;0.0;0.0;-0.8115942028985508;0.0;0.0;0.0;-0.8137334712067349;-0.863013698630137;0.0;0.0;1.6470588235294117;0.0;0.04712041884816754;0.0;0.0
Author;-0.675603217158177;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;-1.0;-0.9863013698630136;0.0;0.0;1.0;0.0;0.0;0.0;0.0
Article_NoTitle_NoJournal;-0.20192307692307693;0.0;0.6;0.0;0.0;-0.21875;0.0;0.0;0.0;-0.23028309323591917;-0.1643835616438356;0.0;0.0;0.08235294117647059;0.0;0.42857142857142855;0.0;0.0
UntitledEntry;-0.5406737880032868;0.0;0.25;0.0;0.0;-0.5839804748169514;0.0;0.0;0.0;-0.587250995449292;-0.6438356164383562;0.0;0.0;0.5110679611650485;0.0;0.14285714285714285;0.0;0.0
Main;0.0;0.28;0.28;0.64;0.28;0.0;0.027777777777777776;0.28;0.5291502622129182;0.0;27.013698630136986;0.28;0.28;0.0;0.0;0.16279069767441862;10.88888888888889;0.5
TitledEntry_NoTitle_NoArticle;-0.6331658291457286;0.0;0.09;0.0;0.0;-0.8115942028985508;0.0;0.0;0.0;-0.8137334712067349;-0.863013698630137;0.0;0.0;1.6470588235294117;0.0;0.04712041884816754;0.0;0.0
EXAM-BC;0.8888888888888888;0.2222222222222222;0.8888888888888888;0.2222222222222222;0.2222222222222222;0.8888888888888888;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.8888888888888888;0.8888888888888888;0.2222222222222222;0.2222222222222222;0.1111111111111111;0.1111111111111111;0.8888888888888888;0.2222222222222222;0.2222222222222222
EXAM-WC;0.8888888888888888;1.0;0.8888888888888888;1.0;1.0;0.8888888888888888;1.0;1.0;1.0;0.8888888888888888;0.8888888888888888;1.0;1.0;0.1111111111111111;1.0;0.8888888888888888;1.0;1.0
