In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL15;SrcArticle.allInstances()->forAll(b | TrgPara.allInstances()->exists(p | p.content = '['+b.id+'] Article ' + b.title + ' ' + b.authors->iterate(e; str : String = '' | str + e.author + ' ') + b.year + ' ' + b.journal) and TrgPara.allInstances()->exists(p | p.content = b.title and p.section.title = 'Titles List') and TrgPara.allInstances()->exists(p | p.content = b.journal and p.section.title = 'Journals List'))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Article_Title_NoJournal;-0.08294930875576037;0.0;0.06;0.0;0.0;-0.5607476635514018;0.0;0.0;0.0;-0.6123724356957945;-0.36363636363636365;0.0;0.0;0.32608695652173914;0.0;0.030927835051546393;0.0;0.0
TitledEntry_Title_NoArticle;-0.06164383561643835;0.0;0.07;0.0;0.0;-0.4534005037783375;0.0;0.0;0.0;-0.5275893435844943;-0.2727272727272727;0.0;0.0;0.2107728337236534;0.0;0.03626943005181347;0.0;0.0
Article_NoTitle_Journal;-0.009389671361502348;0.05555555555555555;0.14;0.4444444444444445;0.8333333333333334;-0.0546448087431694;0.016666666666666666;2.9396029184377775E-5;0.21516574145596762;-0.056143461404434596;4.909090909090909;0.05;0.11982825864435961;0.25967413441955195;0.06315253007590164;0.07526881720430108;0.29069767441860467;0.3571428571428571
Article_Title_Journal;0.3103448275862069;0.9183673469387755;0.92;0.9591836734693877;0.9183673469387755;0.3284671532846715;0.25;0.9183673469387755;0.9583148474999099;0.42857142857142855;89.27272727272727;0.9;0.9281972902079786;0.0;0.42846941204475125;0.8518518518518519;1012.5;0.5555555555555556
Author;-0.13138686131386862;0.4;0.38;0.6090909090909091;0.8181818181818181;-0.2140309155766944;0.023255813953488372;2.997551999200653E-4;0.5720775535473553;-0.24174688920761409;35.27272727272727;0.36;0.4177599082252194;1.0919117647058822;0.04834613130628712;0.2345679012345679;20.903225806451612;0.3333333333333333
Article_NoTitle_NoJournal;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
UntitledEntry;-0.020179372197309416;0.0;0.09;0.0;0.0;-0.18018018018018017;0.0;0.0;0.0;-0.3015113445777636;-0.09090909090909091;0.0;0.0;0.055248618784530384;0.0;0.04712041884816754;0.0;0.0
Main;0.0;0.9;0.9;0.95;0.9;0.0;0.2;0.9;0.9486832980505139;0.0;89.0909090909091;0.9;0.9;0.0;0.0;0.8181818181818182;810.0;0.5
TitledEntry_NoTitle_NoArticle;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
