1 : token_ratio--0.2222  byte_ratio--0.2276
10 : token_ratio--0.0690  byte_ratio--0.0892
19 : token_ratio--0.1000  byte_ratio--0.1191
20 : token_ratio--0.1000  byte_ratio--0.1280
26 : token_ratio--0.1429  byte_ratio--0.1462
30 : token_ratio--0.0455  byte_ratio--0.0669
31 : token_ratio--0.1429  byte_ratio--0.1630
37 : token_ratio--0.2222  byte_ratio--0.2262
39 : token_ratio--0.0833  byte_ratio--0.0506
42 : token_ratio--0.2000  byte_ratio--0.1943
43 : token_ratio--0.5000  byte_ratio--0.4560
45 : token_ratio--0.1667  byte_ratio--0.0966
46 : token_ratio--0.0909  byte_ratio--0.0838
48 : token_ratio--0.1429  byte_ratio--0.1807
49 : token_ratio--0.2222  byte_ratio--0.2483
50 : token_ratio--0.0909  byte_ratio--0.0895
52 : token_ratio--0.1000  byte_ratio--0.1338
55 : token_ratio--0.3333  byte_ratio--0.3189
6 : token_ratio--0.1053  byte_ratio--0.1311
60 : token_ratio--0.1176  byte_ratio--0.1478
70 : token_ratio--0.0909  byte_ratio--0.0838
75 : token_ratio--0.2500  byte_ratio--0.2314
79 : token_ratio--0.2857  byte_ratio--0.2288
87 : token_ratio--0.1053  byte_ratio--0.1176
88 : token_ratio--0.2222  byte_ratio--0.2329
90 : token_ratio--0.1667  byte_ratio--0.1955
91 : token_ratio--0.6667  byte_ratio--0.5185
95 : token_ratio--0.0769  byte_ratio--0.0793
