1 : token_ratio--0.0698  byte_ratio--0.1024
16 : token_ratio--0.0811  byte_ratio--0.1353
26 : token_ratio--0.0968  byte_ratio--0.1200
28 : token_ratio--0.0882  byte_ratio--0.1144
29 : token_ratio--0.0789  byte_ratio--0.0958
33 : token_ratio--0.0750  byte_ratio--0.1052
39 : token_ratio--0.0857  byte_ratio--0.1201
4 : token_ratio--0.1250  byte_ratio--0.1776
51 : token_ratio--0.0517  byte_ratio--0.0630
55 : token_ratio--0.0652  byte_ratio--0.0869
6 : token_ratio--0.1765  byte_ratio--0.2005
7 : token_ratio--0.1111  byte_ratio--0.1297
78 : token_ratio--0.0811  byte_ratio--0.1119
8 : token_ratio--0.0811  byte_ratio--0.0973
85 : token_ratio--0.0526  byte_ratio--0.0722
86 : token_ratio--0.0492  byte_ratio--0.0616
87 : token_ratio--0.0909  byte_ratio--0.1254
96 : token_ratio--0.0789  byte_ratio--0.1128
97 : token_ratio--0.0811  byte_ratio--0.0965
99 : token_ratio--0.0500  byte_ratio--0.0730
