1 : token_ratio--0.0698  byte_ratio--0.1351
27 : token_ratio--0.0484  byte_ratio--0.0967
37 : token_ratio--0.0938  byte_ratio--0.1669
51 : token_ratio--0.0517  byte_ratio--0.0996
52 : token_ratio--0.0536  byte_ratio--0.0962
53 : token_ratio--0.0857  byte_ratio--0.1556
55 : token_ratio--0.0652  byte_ratio--0.1286
56 : token_ratio--0.2143  byte_ratio--0.3604
57 : token_ratio--0.0857  byte_ratio--0.1464
60 : token_ratio--0.0882  byte_ratio--0.1546
61 : token_ratio--0.0909  byte_ratio--0.1602
66 : token_ratio--0.0811  byte_ratio--0.1488
7 : token_ratio--0.1111  byte_ratio--0.1814
74 : token_ratio--0.1034  byte_ratio--0.2075
77 : token_ratio--0.0789  byte_ratio--0.1554
83 : token_ratio--0.0476  byte_ratio--0.0959
97 : token_ratio--0.0811  byte_ratio--0.1278
