1 : token_ratio--0.0465  byte_ratio--0.0518
11 : token_ratio--0.0444  byte_ratio--0.0503
12 : token_ratio--0.0606  byte_ratio--0.0722
17 : token_ratio--0.0444  byte_ratio--0.0492
2 : token_ratio--0.0500  byte_ratio--0.0532
22 : token_ratio--0.0426  byte_ratio--0.0458
25 : token_ratio--0.0455  byte_ratio--0.0532
26 : token_ratio--0.0645  byte_ratio--0.0693
27 : token_ratio--0.0323  byte_ratio--0.0367
28 : token_ratio--0.0588  byte_ratio--0.0652
29 : token_ratio--0.0526  byte_ratio--0.0594
32 : token_ratio--0.0435  byte_ratio--0.0462
37 : token_ratio--0.0625  byte_ratio--0.0655
41 : token_ratio--0.0392  byte_ratio--0.0437
45 : token_ratio--0.0370  byte_ratio--0.0408
5 : token_ratio--0.0299  byte_ratio--0.0329
51 : token_ratio--0.0345  byte_ratio--0.0391
52 : token_ratio--0.0357  byte_ratio--0.0420
53 : token_ratio--0.0571  byte_ratio--0.0640
54 : token_ratio--0.0370  byte_ratio--0.0423
55 : token_ratio--0.0435  byte_ratio--0.0502
56 : token_ratio--0.1429  byte_ratio--0.1334
57 : token_ratio--0.0571  byte_ratio--0.0593
60 : token_ratio--0.0588  byte_ratio--0.0678
61 : token_ratio--0.0606  byte_ratio--0.0628
62 : token_ratio--0.0364  byte_ratio--0.0391
66 : token_ratio--0.0541  byte_ratio--0.0551
68 : token_ratio--0.0909  byte_ratio--0.0898
7 : token_ratio--0.0741  byte_ratio--0.0776
70 : token_ratio--0.0625  byte_ratio--0.0627
71 : token_ratio--0.0400  byte_ratio--0.0485
74 : token_ratio--0.0690  byte_ratio--0.0672
77 : token_ratio--0.0526  byte_ratio--0.0593
78 : token_ratio--0.0541  byte_ratio--0.0540
79 : token_ratio--0.1111  byte_ratio--0.1193
8 : token_ratio--0.0541  byte_ratio--0.0555
81 : token_ratio--0.0645  byte_ratio--0.0702
83 : token_ratio--0.0317  byte_ratio--0.0368
84 : token_ratio--0.0645  byte_ratio--0.0703
86 : token_ratio--0.0328  byte_ratio--0.0363
89 : token_ratio--0.0408  byte_ratio--0.0453
9 : token_ratio--0.0444  byte_ratio--0.0498
95 : token_ratio--0.0392  byte_ratio--0.0430
97 : token_ratio--0.0541  byte_ratio--0.0546
99 : token_ratio--0.0333  byte_ratio--0.0403
