11 : token_ratio--0.6000  byte_ratio--0.2930
13 : token_ratio--0.5000  byte_ratio--0.2469
36 : token_ratio--0.6000  byte_ratio--0.2725
46 : token_ratio--0.7500  byte_ratio--0.3559
54 : token_ratio--0.7500  byte_ratio--0.3559
59 : token_ratio--0.6000  byte_ratio--0.2719
7 : token_ratio--0.5000  byte_ratio--0.2336
70 : token_ratio--0.7500  byte_ratio--0.3143
77 : token_ratio--0.3333  byte_ratio--0.1806
88 : token_ratio--0.7500  byte_ratio--0.3612
