In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL1;SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
StrongReferences;0.0;0.38;0.38;0.69;1.0;0.0;0.03225806451612903;0.38;0.6164414002968976;0.0;38.0;0.38;0.38;1.0;0.0;0.2345679012345679;23.29032258064516;1.0
EXAM-BC;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.375;0.125;0.125;0.375;0.125
EXAM-WC;1.0;0.75;0.75;0.75;1.0;1.0;0.75;0.75;0.75;1.0;0.75;0.75;0.75;1.0;1.0;0.75;1.0;1.0
EXAM-AVG;0.5625;0.4375;0.4375;0.4375;0.5625;0.5625;0.4375;0.4375;0.4375;0.5625;0.4375;0.4375;0.4375;0.6875;0.5625;0.4375;0.6875;0.5625

OCL10;SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name and p.ownedElements->forAll(class | e.entities->exists(entity | entity.name = class.name and class.ownedProperty->forAll(prop | (not prop.complexType.oclIsUndefined() and prop.isContainment) implies entity.features-> select(f|f.oclIsTypeOf(TrgStrongReference)) -> exists(f | f.name = prop.name))))))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
WeakReferences;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;100.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0
References;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;100.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0
Attributes;0.0;0.34;0.34;0.67;1.0;0.0;0.030303030303030304;0.34;0.5830951894845301;0.0;34.0;0.34;0.34;1.0;0.0;0.20481927710843373;17.515151515151516;1.0
Class;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;100.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0
Package;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;100.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0
NamedElement;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;100.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0
Property;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;100.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0
StrongReferences;0.0;0.38;0.38;0.69;1.0;0.0;0.03225806451612903;0.38;0.6164414002968976;0.0;38.0;0.38;0.38;1.0;0.0;0.2345679012345679;23.29032258064516;1.0
EXAM-BC;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.375;0.125;0.125;0.375;0.125
EXAM-WC;1.0;0.75;0.75;0.75;1.0;1.0;0.75;0.75;0.75;1.0;0.75;0.75;0.75;1.0;1.0;0.75;1.0;1.0
EXAM-AVG;0.5625;0.4375;0.4375;0.4375;0.5625;0.5625;0.4375;0.4375;0.4375;0.5625;0.4375;0.4375;0.4375;0.6875;0.5625;0.4375;0.6875;0.5625

OCL11;SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name and p.ownedElements->forAll(class | e.entities->exists(entity | entity.name = class.name and class.ownedProperty->forAll(prop | prop.complexType.oclIsUndefined() implies entity.features-> select(f|f.oclIsTypeOf(TrgAttribute)) -> exists(f | f.name = prop.name))))))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
WeakReferences;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;100.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0
References;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;100.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0
Attributes;0.0;0.34;0.34;0.67;1.0;0.0;0.030303030303030304;0.34;0.5830951894845301;0.0;34.0;0.34;0.34;1.0;0.0;0.20481927710843373;17.515151515151516;1.0
Class;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;100.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0
Package;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;100.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0
NamedElement;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;100.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0
Property;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;100.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0
StrongReferences;0.0;0.38;0.38;0.69;1.0;0.0;0.03225806451612903;0.38;0.6164414002968976;0.0;38.0;0.38;0.38;1.0;0.0;0.2345679012345679;23.29032258064516;1.0
EXAM-BC;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.375;0.125;0.125;0.375;0.125
EXAM-WC;1.0;0.75;0.75;0.75;1.0;1.0;0.75;0.75;0.75;1.0;0.75;0.75;0.75;1.0;1.0;0.75;1.0;1.0
EXAM-AVG;0.5625;0.4375;0.4375;0.4375;0.5625;0.5625;0.4375;0.4375;0.4375;0.5625;0.4375;0.4375;0.4375;0.6875;0.5625;0.4375;0.6875;0.5625

OCL12;SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name and p.ownedElements->forAll(class | e.entities->exists(entity | entity.name = class.name and class.ownedProperty->forAll(prop | prop.complexType.oclIsUndefined() implies entity.features-> exists(f | TrgAttribute.allInstances()-> exists(a | a=f and a.type = if prop.primitiveType.oclIsUndefined() then 'NoType' else prop.primitiveType endif)))))))        
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
WeakReferences;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;100.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0
References;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;100.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0
Attributes;0.0;0.34;0.34;0.67;1.0;0.0;0.030303030303030304;0.34;0.5830951894845301;0.0;34.0;0.34;0.34;1.0;0.0;0.20481927710843373;17.515151515151516;1.0
Class;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;100.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0
Package;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;100.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0
NamedElement;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;100.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0
Property;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;100.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0
StrongReferences;0.0;0.38;0.38;0.69;1.0;0.0;0.03225806451612903;0.38;0.6164414002968976;0.0;38.0;0.38;0.38;1.0;0.0;0.2345679012345679;23.29032258064516;1.0
EXAM-BC;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.375;0.125;0.125;0.375;0.125
EXAM-WC;1.0;0.75;0.75;0.75;1.0;1.0;0.75;0.75;0.75;1.0;0.75;0.75;0.75;1.0;1.0;0.75;1.0;1.0
EXAM-AVG;0.5625;0.4375;0.4375;0.4375;0.5625;0.5625;0.4375;0.4375;0.4375;0.5625;0.4375;0.4375;0.4375;0.6875;0.5625;0.4375;0.6875;0.5625

OCL13;TrgWeakReference.allInstances()->forAll(r | SrcClass.allInstances()->exists(c | r.type.name = c.name))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
WeakReferences;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;100.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0
References;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;100.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0
Attributes;0.0;0.34;0.34;0.67;1.0;0.0;0.030303030303030304;0.34;0.5830951894845301;0.0;34.0;0.34;0.34;1.0;0.0;0.20481927710843373;17.515151515151516;1.0
Class;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;100.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0
Package;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;100.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0
NamedElement;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;100.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0
Property;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;100.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0
StrongReferences;0.0;0.38;0.38;0.69;1.0;0.0;0.03225806451612903;0.38;0.6164414002968976;0.0;38.0;0.38;0.38;1.0;0.0;0.2345679012345679;23.29032258064516;1.0
EXAM-BC;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.375;0.125;0.125;0.375;0.125
EXAM-WC;1.0;0.75;0.75;0.75;1.0;1.0;0.75;0.75;0.75;1.0;0.75;0.75;0.75;1.0;1.0;0.75;1.0;1.0
EXAM-AVG;0.5625;0.4375;0.4375;0.4375;0.5625;0.5625;0.4375;0.4375;0.4375;0.5625;0.4375;0.4375;0.4375;0.6875;0.5625;0.4375;0.6875;0.5625

OCL14;TrgStrongReference.allInstances()->forAll(r | SrcClass.allInstances()->exists(c | r.type.name = c.name))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
WeakReferences;0.0;0.38;0.38;0.69;0.38;0.0;0.03225806451612903;0.38;0.6164414002968976;0.0;37.01587301587302;0.38;0.38;0.0;0.0;0.2345679012345679;23.29032258064516;0.5
References;0.0;0.38;0.38;0.69;0.38;0.0;0.03225806451612903;0.38;0.6164414002968976;0.0;37.01587301587302;0.38;0.38;0.0;0.0;0.2345679012345679;23.29032258064516;0.5
Attributes;0.9133448873483535;0.8947368421052632;0.96;0.9473684210526316;1.0;0.9165217391304348;0.5;0.8947368421052632;0.9459053029269173;0.9167935246423571;34.0;0.34;0.9523315594397832;0.21518987341772153;0.9167536539680853;0.9230769230769231;289.0;1.0
Class;0.0;0.38;0.38;0.69;0.38;0.0;0.03225806451612903;0.38;0.6164414002968976;0.0;37.01587301587302;0.38;0.38;0.0;0.0;0.2345679012345679;23.29032258064516;0.5
Package;0.0;0.38;0.38;0.69;0.38;0.0;0.03225806451612903;0.38;0.6164414002968976;0.0;37.01587301587302;0.38;0.38;0.0;0.0;0.2345679012345679;23.29032258064516;0.5
