EXAM-WC;0.125;0.125;0.125;0.125;0.125;0.125;0.25;0.125;0.125;0.125;0.125;0.75;0.125;0.25;0.125;0.125;0.75;0.125
EXAM-AVG;0.125;0.125;0.125;0.125;0.125;0.125;0.25;0.125;0.125;0.125;0.125;0.4375;0.125;0.25;0.125;0.125;0.75;0.125

OCL10;SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name and p.ownedElements->forAll(class | e.entities->exists(entity | entity.name = class.name and class.ownedProperty->forAll(prop | (not prop.complexType.oclIsUndefined() and prop.isContainment) implies entity.features-> select(f|f.oclIsTypeOf(TrgStrongReference)) -> exists(f | f.name = prop.name))))))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
WeakReferences;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;39.0;0.39;1.0;0.0;0.9999579672985583;1.0;1.0;1.0
References;0.11894273127753303;0.42857142857142855;0.48;0.7142857142857143;0.4285714285714286;0.21951219512195122;0.038461538461538464;0.42857142857142855;0.6546536707079772;0.2514594403022007;38.16129032258065;0.39;0.5261311081652144;0.0;0.25144142682058895;0.3157894736842105;29.25;0.5398230088495575
Attributes;0.8081841432225064;0.8461538461538461;0.91;0.8814102564102564;0.9166666666666666;0.8097373478539398;0.1981981981981982;0.00600377096358043;0.8807048459279793;0.8098412135034205;32.95161290322581;0.33;0.8950428574927171;0.20224719101123595;0.8174946616870578;0.8348623853211009;121.0;0.9450704225352113
Class;0.038780245276765;0.4020618556701031;0.42;0.7010309278350515;0.4020618556701031;0.08764044943820225;0.034482758620689655;0.4020618556701031;0.6340834768940941;0.14061839810428403;38.064516129032256;0.39;0.4620497117876382;0.0;0.1406014996789371;0.26582278481012656;26.224137931034484;0.5126050420168068
Package;0.0;0.39;0.39;0.6950000000000001;0.39;0.0;0.03278688524590164;0.39;0.6244997998398398;0.0;38.016129032258064;0.39;0.39;0.0;0.0;0.2422360248447205;24.934426229508198;0.5
NamedElement;0.0;0.39;0.39;0.6950000000000001;0.39;0.0;0.03278688524590164;0.39;0.6244997998398398;0.0;38.016129032258064;0.39;0.39;0.0;0.0;0.2422360248447205;24.934426229508198;0.5
Property;0.07841823056300268;0.4148936170212766;0.45;0.7074468085106382;0.4148936170212766;0.15902140672782875;0.03636363636363636;0.4148936170212766;0.6441223618391746;0.20201289125103125;38.11290322580645;0.39;0.49678426176968254;0.0;0.20199545292390958;0.2903225806451613;27.654545454545456;0.5258620689655172
StrongReferences;0.09863945578231292;0.4222222222222222;0.47;0.6982905982905983;0.4222222222222223;0.17688319609637085;0.03588290840415486;0.002758578529700568;0.6414015991529889;0.198188988958643;37.16129032258065;0.38;0.5159518612510476;0.1717557251908397;0.23371035290345105;0.30718954248366015;27.245283018867923;0.5333640128854119
EXAM-BC;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.25;0.125;0.125;0.5;0.125
EXAM-WC;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.75;0.125;0.25;0.125;0.125;0.5;0.125
EXAM-AVG;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.4375;0.125;0.25;0.125;0.125;0.5;0.125


Summary of the quality of the different techniques according to the EXAM metric

BEST CASE;Cohen-BC;Braun-Banquet-BC;Simple Matching-BC;Kulcynski2-BC;Barinel-BC;Arithmetic Mean-BC;Mountford-BC;Zoltar-BC;Ochiai-BC;Phi-BC;Op2-BC;Russel Rao-BC;Baroni-Urbani & Buser-BC;Pierce-BC;Ochiai2-BC;Rogers & Tanimoto-BC;DStar-BC;Tarantula-BC
OCL9;0.125;0.125;0.125;0.125;0.125;0.125;0.25;0.125;0.125;0.125;0.125;0.125;0.125;0.25;0.125;0.125;0.75;0.125
OCL10;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.25;0.125;0.125;0.5;0.125

WORST CASE;Cohen-WC;Braun-Banquet-WC;Simple Matching-WC;Kulcynski2-WC;Barinel-WC;Arithmetic Mean-WC;Mountford-WC;Zoltar-WC;Ochiai-WC;Phi-WC;Op2-WC;Russel Rao-WC;Baroni-Urbani & Buser-WC;Pierce-WC;Ochiai2-WC;Rogers & Tanimoto-WC;DStar-WC;Tarantula-WC
OCL9;0.125;0.125;0.125;0.125;0.125;0.125;0.25;0.125;0.125;0.125;0.125;0.75;0.125;0.25;0.125;0.125;0.75;0.125
OCL10;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.75;0.125;0.25;0.125;0.125;0.5;0.125

AVG CASE;Cohen-AVG;Braun-Banquet-AVG;Simple Matching-AVG;Kulcynski2-AVG;Barinel-AVG;Arithmetic Mean-AVG;Mountford-AVG;Zoltar-AVG;Ochiai-AVG;Phi-AVG;Op2-AVG;Russel Rao-AVG;Baroni-Urbani & Buser-AVG;Pierce-AVG;Ochiai2-AVG;Rogers & Tanimoto-AVG;DStar-AVG;Tarantula-AVG
OCL9;0.125;0.125;0.125;0.125;0.125;0.125;0.25;0.125;0.125;0.125;0.125;0.4375;0.125;0.25;0.125;0.125;0.75;0.125
OCL10;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.4375;0.125;0.25;0.125;0.125;0.5;0.125
